Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS30-14AR
Serial Number          ,       M00694456

Date MM-DD-YYYY        ,       02-25-2022
Time HH:MM:SS          ,       10:19:19


*** CAMERA ***
Camera Type            ,       Thorlabs WFS30
Camera SN              ,       4103954151
Resolution X           ,       1024
Resolution Y           ,       1024
Exposure Time [ms]     ,       2.972
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.108
Beam Center Y [mm]     ,      -0.399
Beam Diameter X [mm]   ,       6.804
Beam Diameter Y [mm]   ,       6.857


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.108
Pupil Center Y [mm]    ,      -0.399


*** ZERNIKE FIT ***
Zernike Orders Auto    ,       0
Zernike Orders         ,       4
Zernike Modes          ,       15
Unit                   ,       µm
Index  Order  Frequency  Coefficient
   1,     0,     0,        8.838
   2,     1,    -1,      -28.957
   3,     1,     1,       15.730
   4,     2,    -2,        3.268
   5,     2,     0,       -1.403
   6,     2,     2,        2.113
   7,     3,    -3,       -0.974
   8,     3,    -1,       -0.618
   9,     3,     1,        0.533
  10,     3,     3,        1.026
  11,     4,    -4,       -0.366
  12,     4,    -2,       -0.160
  13,     4,     0,        0.512
  14,     4,     2,       -0.382
  15,     4,     4,        0.840

Fit Error Mean [arcmin]  ,   1.055e-09
Fit Error StdDev [arcmin],   1.456e-02


*** RMS WAVEFRONT VARIATIONS ***
Unit                   ,       µm
Order  Variation
   0,      8.838
   1,     32.954
   2,      4.137
   3,      1.633
   4,      1.128


*** FOURIER NOTATION ***
Fourier Order          ,       2
Fourier M              ,       4.321
Fourier J0             ,      -4.601
Fourier J45            ,      -7.116


*** OPTOMETRIC NOTATION ***
Optometric Sphere [dpt],      12.795
Optometric Cyl. [dpt]  ,     -16.948
Optometric Axis [deg]  ,     118.557

Radius of Curvature[mm],     231.423


*** WAVEFRONT ***
Reference              ,       Internal Reference
Unit                   ,       µm
Wavelength [nm]        ,        633.000
Type                   ,       Measured
Calculation Area       ,       entire area
PV                     ,     450.462
RMS                    ,      79.643
RMS weighted           ,      79.505
Spots X                ,       19
Spots Y                ,       19
y / x [mm],    -2.700,    -2.400,    -2.100,    -1.800,    -1.500,    -1.200,    -0.900,    -0.600,    -0.300,     0.000,     0.300,     0.600,     0.900,     1.200,     1.500,     1.800,     2.100,     2.400,     2.700,
     2.700,       NaN,       NaN,       NaN,       NaN,    35.227,    45.614,    59.364,    74.715,    90.267,   105.162,   119.811,   135.158,   151.735,   169.344,   188.843,   210.555,   234.448,   260.994,   288.584,
     2.400,       NaN,       NaN,       NaN,    34.911,    36.972,    42.585,    52.457,    64.852,    78.246,    91.302,   103.843,   116.994,   131.650,   147.135,   165.649,   186.432,   209.081,   234.833,   262.371,
     2.100,       NaN,       NaN,    39.378,    35.979,    35.167,    37.826,    44.405,    53.675,    65.366,    77.108,    89.561,   102.641,   116.123,   129.506,   145.480,   164.758,   186.562,   212.591,   239.731,
     1.800,       NaN,       NaN,    42.944,    39.253,    37.095,    36.274,    38.217,    43.046,    51.898,    62.370,    73.799,    84.877,    95.544,   108.041,   123.558,   142.651,   163.981,   188.626,   214.834,
     1.500,       NaN,       NaN,    44.707,    39.608,    35.971,    33.462,    32.347,    33.124,    38.757,    47.123,    57.760,    67.831,    78.036,    90.653,   105.914,   125.340,   146.114,   168.392,   192.747,
     1.200,       NaN,       NaN,    38.640,    33.931,    30.243,    28.371,    27.081,    25.460,    27.408,    32.050,    40.120,    47.071,    54.404,    63.799,    77.935,    95.523,   114.764,   136.095,   159.677,
     0.900,       NaN,    28.424,    23.703,    21.251,    19.444,    20.466,    20.382,    18.968,    18.183,    19.663,    24.570,    28.707,    34.466,    43.259,    57.579,    73.278,    90.928,   111.483,   134.585,
     0.600,       NaN,     6.268,     3.868,     2.801,     4.317,     6.962,     9.015,     9.567,     9.823,    10.194,    13.262,    16.983,    22.335,    32.075,    44.576,    57.918,    74.096,    92.758,   114.997,
     0.300,       NaN,   -22.634,   -21.060,   -19.461,   -15.094,    -8.595,    -1.542,     2.336,     4.379,     3.858,     4.616,     6.828,    11.360,    20.494,    30.309,    40.465,    53.345,    68.337,    87.783,
     0.000,   -48.934,   -47.880,   -44.376,   -39.144,   -32.520,   -22.906,   -13.270,    -6.197,    -1.631,     0.000,     0.259,     1.777,     6.088,    12.349,    18.618,    25.522,    35.123,    48.079,    64.032,
    -0.300,   -76.137,   -71.739,   -66.490,   -57.814,   -47.333,   -35.519,   -24.150,   -15.144,    -8.124,    -3.937,    -2.065,     0.192,     4.889,    10.158,    16.009,    22.445,    30.433,    41.816,    54.670,
    -0.600,       NaN,   -91.798,   -83.372,   -72.158,   -58.537,   -45.409,   -33.494,   -23.544,   -15.197,    -8.334,    -5.716,    -4.737,    -3.321,    -0.485,     2.953,     7.665,    14.389,    24.380,    36.284,
    -0.900,       NaN,  -111.087,   -99.083,   -86.289,   -71.591,   -57.924,   -45.015,   -33.369,   -23.665,   -15.451,   -12.035,    -9.176,    -6.856,    -4.681,    -4.118,    -2.033,     2.576,    10.216,    21.081,
    -1.200,       NaN,  -130.534,  -116.015,  -101.488,   -87.139,   -72.158,   -56.650,   -44.405,   -33.478,   -25.599,   -21.201,   -18.843,   -16.568,   -14.468,   -13.391,   -10.501,    -5.119,     2.937,    13.040,
    -1.500,       NaN,       NaN,  -139.129,  -121.204,  -103.034,   -85.335,   -68.358,   -55.312,   -43.351,   -36.423,   -31.749,   -28.850,   -26.292,   -24.143,   -21.623,   -17.215,   -10.855,    -2.232,     7.725,
    -1.800,       NaN,       NaN,  -151.163,  -131.449,  -112.596,   -95.482,   -79.444,   -66.560,   -54.542,   -47.437,   -41.975,   -38.004,   -34.714,   -32.439,   -29.043,   -24.407,   -18.859,   -10.739,    -1.388,
    -2.100,       NaN,       NaN,  -155.701,  -134.795,  -117.463,  -102.005,   -88.135,   -76.083,   -65.467,   -58.671,   -52.745,   -47.822,   -43.233,   -40.091,   -36.292,   -31.722,   -26.637,   -18.999,   -11.483,
    -2.400,       NaN,       NaN,  -161.878,  -142.305,  -126.597,  -112.416,   -99.452,   -87.355,   -77.025,   -69.884,   -63.845,   -57.697,   -50.860,   -45.109,   -40.594,   -35.704,   -29.232,   -20.909,   -13.076,
    -2.700,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,
